experiment_id,Ax,Ay,Az
55,-1.6875048,-1.1258558,0.8347634
56,-1.6876278,-0.8443433,-1.1160693
57,-1.6873286,-0.8442675,-0.8367326
58,-1.6875048,-0.8441425,-0.5574206
59,-1.6877282,-0.8439663,-0.27835852
60,-1.6873286,-0.843743,-0.0005461897
61,-1.687554,-0.8438414,0.27808976
62,-1.6879044,-0.84386796,0.55615205
63,-1.687304,-0.8435914,0.8346118
64,-1.6877548,-0.8438926,1.1134014
65,-1.6876031,-0.5624293,-1.1159955
66,-1.6875027,-0.56215477,-0.8364806
67,-1.6872529,-0.5621056,-0.557396
68,-1.687304,-0.561829,-0.27850807
69,-1.6871278,-0.56163025,0.000103277875
70,-1.6872036,-0.56163025,0.27761444
71,-1.6873798,-0.56170404,0.55635077
72,-1.6871791,-0.5617286,0.8346118
73,-1.6877036,-0.5620052,1.1135018
74,-1.6875048,-0.28021616,-1.3949572
75,-1.6872795,-0.27966502,-1.1155448
76,-1.6875027,-0.27984124,-0.8362061
77,-1.6872282,-0.27971625,-0.5570457
78,-1.6873533,-0.2799908,-0.27865764
79,-1.6871033,-0.27974084,0.000103277875
80,-1.6870787,-0.27954006,0.27798936
81,-1.6871033,-0.27974084,0.55597585
82,-1.6874044,-0.27956465,0.83488834
83,-1.6874044,-0.27956465,1.1140774
84,-1.6874291,-0.27956465,1.3922381
85,-1.6873778,0.002148586,-1.3943815
86,-1.6874536,0.0022223426,-1.1151699
87,-1.6871791,0.0023473192,-0.8362061
88,-1.6871278,0.002148586,-0.5572956
89,-1.687554,0.0019744385,-0.27818233
90,-1.6873778,0.0021731716,0.00017908323
91,-1.687054,0.0025993206,0.27791354
92,-1.6868287,0.0021240006,0.5561254
93,-1.6868042,0.002548101,0.83463633
94,-1.6874291,0.0026239061,1.1136513
95,-1.6871791,0.002724297,1.3922627
96,-1.6875786,0.28268582,-1.3946068
97,-1.6875048,0.28236005,-1.1150941
98,-1.6872036,0.28233546,-0.8363065
99,-1.6871545,0.28238463,-0.55694526
100,-1.6872529,0.28236005,-0.27835852
101,-1.6877282,0.28198513,5.4106822e-05
102,-1.6871545,0.28238463,0.27829054
103,-1.6871033,0.28215927,0.556277
104,-1.6872795,0.28240922,0.8349867
105,-1.6869291,0.28225967,1.1137518
106,-1.6874044,0.28240922,1.3924634
107,-1.6873286,0.5626719,-1.1152703
108,-1.6873778,0.56244653,-0.8361057
109,-1.6874536,0.5627969,-0.5567445
110,-1.6873286,0.56227034,-0.27845687
111,-1.6874782,0.56239533,-7.086959e-05
112,-1.6875294,0.56227237,0.27828848
113,-1.6876544,0.56222117,0.55602705
114,-1.6870295,0.56264734,0.83491296
115,-1.6876544,0.5627723,1.1136267
116,-1.6875027,0.84295917,-1.1158439
117,-1.6874782,0.8426334,-0.8363823
118,-1.6875027,0.84240806,-0.557396
119,-1.6871791,0.8427338,-0.27833188
120,-1.687054,0.84258425,-7.086959e-05
121,-1.6870787,0.8428096,0.2784401
122,-1.6875048,0.84250844,0.556277
123,-1.6873286,0.84228307,0.8347613
124,-1.6873533,0.8429346,1.1134014
125,-1.6876789,1.1227957,-0.8365319
126,-1.6876298,1.123271,-0.5575456
127,-1.6874291,1.1229719,-0.27853265
128,-1.6872549,1.1232957,-0.0003208224
129,-1.6874044,1.1232957,0.27794018
130,-1.6873798,1.1230457,0.55635077
131,-1.6873533,1.1226215,0.8346118
132,-1.6878531,1.40321,-0.2789588
133,-1.687554,1.4031117,-0.0005216042
134,-1.6879289,1.403462,0.2777394
135,-1.4059658,-1.6892596,-0.27950788
136,-1.4057158,-1.6893089,-0.00047243317
137,-1.405515,-1.6890097,0.27768818
138,-1.4061666,-1.407444,-0.83773243
139,-1.4063919,-1.4077206,-0.55777097
140,-1.405892,-1.4075198,-0.27873343
141,-1.4061666,-1.4075711,-0.0004212133
142,-1.4059411,-1.4074706,0.27806517
143,-1.4060662,-1.4077698,0.55635077
144,-1.405892,-1.4074953,0.834663
145,-1.4062669,-1.1261057,-1.1157701
146,-1.405892,-1.125657,-0.8365319
147,-1.4060907,-1.1257553,-0.55727106
148,-1.4060662,-1.1255054,-0.27850807
149,-1.406017,-1.1255566,0.00037781624
150,-1.4060149,-1.1257308,0.27796477
151,-1.4060415,-1.1254317,0.5562258
152,-1.4060662,-1.125657,0.8344622
153,-1.4054167,-1.1251059,1.1136513
154,-1.4058408,-0.8442921,-1.3945577
155,-1.4060149,-0.8438926,-1.115344
156,-1.4061153,-0.8435422,-0.8362061
157,-1.4059904,-0.84394175,-0.5569207
158,-1.4056666,-0.8440421,-0.27835852
159,-1.4056154,-0.84399295,-9.750391e-05
160,-1.4058408,-0.84381676,0.2783643
161,-1.4053409,-0.84401757,0.55590206
162,-1.406017,-0.84369177,0.83501333
163,-1.4056666,-0.8435914,1.113426
164,-1.4057404,-0.8434172,1.3922873
